cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
ruprecht_91,Cl Ruprecht 91,Ruprecht_91,161.964,-57.483,0.575,1070.0,0.138,193
berkeley_44,Cl Berkeley 44,Berkeley_44,289.313,19.55,0.25,2863.0,1.4454,192
ngc_2670,NGC 2670,NGC_2670,131.386,-48.801,0.275,1512.0,0.1023,191
dias_6,Cl Dias 6,Dias_6,277.617,-12.33,0.25,2524.0,1.0965,190
ngc_4852,NGC 4852,NGC_4852,195.046,-59.607,0.307,1261.0,0.0776,190
ngc_6728,NGC 6728,NGC_6728,284.715,-8.953,0.32,1829.0,0.6026,190
ubc_310,UBC 310,UBC_310,244.473,-53.527,0.25,2722.0,1.2023,190
berkeley_14,Cl Berkeley 14,Berkeley_14,74.935,43.488,0.25,4933.0,2.6915,189
trumpler_13,Cl Trumpler 13,Trumpler_13,155.952,-60.142,0.25,4612.0,0.182,189
ascc_108,[KPR2005] 108,ASCC_108,298.306,39.349,1.343,1160.0,0.1072,188
ngc_2232,NGC 2232,NGC_2232,96.888,-4.749,1.29,315.0,0.0178,188
ubc_173,UBC 173,UBC_173,341.704,56.408,0.403,3599.0,0.0132,187
ascc_32,[KPR2005] 32,ASCC_32,105.714,-26.512,1.64,805.0,0.0251,186
gaia_1,[KBT2017] Gaia 1,Gaia_1,101.474,-16.733,0.25,6460.0,3.1623,185
ic_1369,IC 1369,IC_1369,318.033,47.77,0.25,3301.0,0.2884,185
ngc_6400,NGC 6400,NGC_6400,265.062,-36.957,0.25,1200.0,0.302,185
ngc_6793,NGC 6793,NGC_6793,290.817,22.159,0.568,628.0,0.309,185
ubc_107,UBC 107,UBC_107,279.769,-4.8,0.25,2501.0,0.2344,184
alessi_9,Cl Alessi 9,Alessi_9,265.974,-47.028,2.0,215.0,0.2818,183
ngc_5168,NGC 5168,NGC_5168,202.791,-60.945,0.25,2892.0,0.6026,183
ngc_5999,NGC 5999,NGC_5999,238.046,-56.482,0.25,2751.0,0.1995,183
czernik_41,Cl Czernik 41,Czernik_41,297.754,25.29,0.25,2543.0,0.0129,181
collinder_115,Cl Collinder 115,Collinder_115,101.659,1.776,0.25,1956.0,0.0955,180
gulliver_18,Cl Gulliver 18,Gulliver_18,302.905,26.532,0.31,1595.0,0.0398,180
haffner_5,Cl Haffner 5,Haffner_5,109.493,-22.66,0.25,1692.0,4.6774,180
mamajek_4,Cl Mamajek 4,Mamajek_4,276.635,-50.772,2.0,461.0,0.3715,180
ubc_17a,UBC 17a,UBC_17a,83.422,-1.671,2.0,352.0,0.0186,180
berkeley_10,Cl Berkeley 10,Berkeley_10,54.894,66.486,0.25,2365.0,1.2023,179
ngc_6664,NGC 6664,NGC_6664,279.125,-8.194,0.255,2110.0,0.2239,179
